symptoms,disease
I have itching and skin rash and stomach pain and burning micturition. What could it be?,This could be a sign of Drug Reaction.
I have vomiting and loss of appetite and abdominal pain and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and indigestion and abdominal pain and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have indigestion and loss of appetite and abdominal pain and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and loss of appetite and abdominal pain and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and indigestion and abdominal pain and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and indigestion and loss of appetite and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and indigestion and loss of appetite and abdominal pain and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and indigestion and loss of appetite and abdominal pain and passage of gases. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and indigestion and loss of appetite and abdominal pain and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have vomiting and indigestion and loss of appetite and abdominal pain and passage of gases and internal itching. What could it be?,This could be a sign of Peptic ulcer diseae.
I have muscle wasting and patches in throat and high fever and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have patches in throat and high fever and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have muscle wasting and high fever and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have muscle wasting and patches in throat and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have muscle wasting and patches in throat and high fever. What could it be?,This could be a sign of AIDS.
I have muscle wasting and patches in throat and high fever and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have muscle wasting and patches in throat and high fever and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have patches in throat and high fever and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have muscle wasting and high fever and extra marital contacts. What could it be?,This could be a sign of AIDS.
I have muscle wasting and patches in throat and high fever. What could it be?,This could be a sign of AIDS.
I have fatigue and weight loss and restlessness and lethargy and irregular sugar level and blurred and distorted vision and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and weight loss and restlessness and lethargy and irregular sugar level and blurred and distorted vision and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have weight loss and restlessness and lethargy and irregular sugar level and blurred and distorted vision and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and restlessness and lethargy and irregular sugar level and blurred and distorted vision and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and weight loss and lethargy and irregular sugar level and blurred and distorted vision and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and weight loss and restlessness and irregular sugar level and blurred and distorted vision and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and weight loss and restlessness and lethargy and blurred and distorted vision and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and weight loss and restlessness and lethargy and irregular sugar level and obesity and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and weight loss and restlessness and lethargy and irregular sugar level and blurred and distorted vision and excessive hunger and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have fatigue and weight loss and restlessness and lethargy and irregular sugar level and blurred and distorted vision and obesity and increased appetite and polyuria. What could it be?,This could be a sign of Diabetes .
I have vomiting and sunken eyes and dehydration and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have vomiting and sunken eyes and dehydration and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have sunken eyes and dehydration and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have vomiting and dehydration and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have vomiting and sunken eyes and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have vomiting and sunken eyes and dehydration. What could it be?,This could be a sign of Gastroenteritis.
I have vomiting and sunken eyes and dehydration and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have sunken eyes and dehydration and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have vomiting and dehydration and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have vomiting and sunken eyes and diarrhoea. What could it be?,This could be a sign of Gastroenteritis.
I have fatigue and cough and high fever and breathlessness and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have cough and high fever and breathlessness and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have fatigue and high fever and breathlessness and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have fatigue and cough and breathlessness and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have fatigue and cough and high fever and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have fatigue and cough and high fever and breathlessness and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have fatigue and cough and high fever and breathlessness and family history. What could it be?,This could be a sign of Bronchial Asthma.
I have fatigue and cough and high fever and breathlessness and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have cough and high fever and breathlessness and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have fatigue and high fever and breathlessness and family history and mucoid sputum. What could it be?,This could be a sign of Bronchial Asthma.
I have headache and chest pain and dizziness and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have chest pain and dizziness and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have headache and dizziness and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have headache and chest pain and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have headache and chest pain and dizziness and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have headache and chest pain and dizziness and loss of balance. What could it be?,This could be a sign of Hypertension .
I have headache and chest pain and dizziness and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have chest pain and dizziness and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have headache and dizziness and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have headache and chest pain and loss of balance and lack of concentration. What could it be?,This could be a sign of Hypertension .
I have acidity and indigestion and headache and blurred and distorted vision and excessive hunger and stiff neck and depression and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have indigestion and headache and blurred and distorted vision and excessive hunger and stiff neck and depression and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and headache and blurred and distorted vision and excessive hunger and stiff neck and depression and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and indigestion and blurred and distorted vision and excessive hunger and stiff neck and depression and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and indigestion and headache and excessive hunger and stiff neck and depression and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and indigestion and headache and blurred and distorted vision and stiff neck and depression and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and indigestion and headache and blurred and distorted vision and excessive hunger and depression and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and indigestion and headache and blurred and distorted vision and excessive hunger and stiff neck and irritability and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and indigestion and headache and blurred and distorted vision and excessive hunger and stiff neck and depression and visual disturbances. What could it be?,This could be a sign of Migraine.
I have acidity and indigestion and headache and blurred and distorted vision and excessive hunger and stiff neck and depression and irritability. What could it be?,This could be a sign of Migraine.
I have back pain and weakness in limbs and neck pain and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have back pain and weakness in limbs and neck pain and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have weakness in limbs and neck pain and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have back pain and neck pain and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have back pain and weakness in limbs and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have back pain and weakness in limbs and neck pain and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have back pain and weakness in limbs and neck pain and dizziness. What could it be?,This could be a sign of Cervical spondylosis.
I have back pain and weakness in limbs and neck pain and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have weakness in limbs and neck pain and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have back pain and neck pain and dizziness and loss of balance. What could it be?,This could be a sign of Cervical spondylosis.
I have vomiting and headache and weakness of one body side and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have vomiting and headache and weakness of one body side and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have headache and weakness of one body side and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have vomiting and weakness of one body side and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have vomiting and headache and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have vomiting and headache and weakness of one body side. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have vomiting and headache and weakness of one body side and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have headache and weakness of one body side and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have vomiting and weakness of one body side and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have vomiting and headache and altered sensorium. What could it be?,This could be a sign of Paralysis (brain hemorrhage).
I have itching and vomiting and fatigue and weight loss and high fever and yellowish skin and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and vomiting and fatigue and weight loss and high fever and yellowish skin and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have vomiting and fatigue and weight loss and high fever and yellowish skin and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and fatigue and weight loss and high fever and yellowish skin and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and vomiting and weight loss and high fever and yellowish skin and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and vomiting and fatigue and high fever and yellowish skin and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and vomiting and fatigue and weight loss and yellowish skin and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and vomiting and fatigue and weight loss and high fever and dark urine and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and vomiting and fatigue and weight loss and high fever and yellowish skin and abdominal pain. What could it be?,This could be a sign of Jaundice.
I have itching and vomiting and fatigue and weight loss and high fever and yellowish skin and dark urine. What could it be?,This could be a sign of Jaundice.
I have chills and vomiting and high fever and sweating and headache and nausea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and vomiting and high fever and sweating and headache and nausea and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and vomiting and high fever and sweating and headache and nausea and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have vomiting and high fever and sweating and headache and nausea and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and high fever and sweating and headache and nausea and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and vomiting and sweating and headache and nausea and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and vomiting and high fever and headache and nausea and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and vomiting and high fever and sweating and nausea and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and vomiting and high fever and sweating and headache and diarrhoea and muscle pain. What could it be?,This could be a sign of Malaria.
I have chills and vomiting and high fever and sweating and headache and nausea and muscle pain. What could it be?,This could be a sign of Malaria.
I have itching and skin rash and fatigue and lethargy and high fever and headache and loss of appetite and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have skin rash and fatigue and lethargy and high fever and headache and loss of appetite and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and fatigue and lethargy and high fever and headache and loss of appetite and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and skin rash and lethargy and high fever and headache and loss of appetite and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and skin rash and fatigue and high fever and headache and loss of appetite and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and skin rash and fatigue and lethargy and headache and loss of appetite and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and skin rash and fatigue and lethargy and high fever and loss of appetite and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and skin rash and fatigue and lethargy and high fever and headache and mild fever and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and skin rash and fatigue and lethargy and high fever and headache and loss of appetite and swelled lymph nodes and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have itching and skin rash and fatigue and lethargy and high fever and headache and loss of appetite and mild fever and malaise and red spots over body. What could it be?,This could be a sign of Chicken pox.
I have skin rash and chills and joint pain and vomiting and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have skin rash and chills and joint pain and vomiting and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and red spots over body. What could it be?,This could be a sign of Dengue.
I have skin rash and chills and joint pain and vomiting and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain. What could it be?,This could be a sign of Dengue.
I have skin rash and chills and joint pain and vomiting and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have chills and joint pain and vomiting and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have skin rash and joint pain and vomiting and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have skin rash and chills and vomiting and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have skin rash and chills and joint pain and fatigue and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have skin rash and chills and joint pain and vomiting and high fever and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have skin rash and chills and joint pain and vomiting and fatigue and headache and nausea and loss of appetite and pain behind the eyes and back pain and malaise and muscle pain and red spots over body. What could it be?,This could be a sign of Dengue.
I have chills and vomiting and fatigue and high fever and nausea and constipation and abdominal pain and diarrhoea and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and constipation and abdominal pain and diarrhoea and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and nausea and abdominal pain and diarrhoea and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and nausea and constipation and diarrhoea and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and nausea and constipation and abdominal pain and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and nausea and constipation and abdominal pain and diarrhoea and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and nausea and constipation and abdominal pain and diarrhoea and toxic look (typhos). What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and nausea and constipation and abdominal pain and diarrhoea and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and vomiting and fatigue and high fever and headache and nausea and constipation and abdominal pain and diarrhoea and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have chills and fatigue and high fever and headache and nausea and constipation and abdominal pain and diarrhoea and toxic look (typhos) and belly pain. What could it be?,This could be a sign of Typhoid.
I have joint pain and vomiting and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and vomiting and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have vomiting and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and vomiting and dark urine and nausea and loss of appetite and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and vomiting and yellowish skin and nausea and loss of appetite and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and vomiting and yellowish skin and dark urine and loss of appetite and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and vomiting and yellowish skin and dark urine and nausea and abdominal pain and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and vomiting and yellowish skin and dark urine and nausea and loss of appetite and diarrhoea and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have joint pain and vomiting and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and mild fever and yellowing of eyes and muscle pain. What could it be?,This could be a sign of hepatitis A.
I have itching and fatigue and lethargy and yellowish skin and dark urine and loss of appetite and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and fatigue and lethargy and yellowish skin and dark urine and loss of appetite and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have fatigue and lethargy and yellowish skin and dark urine and loss of appetite and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and lethargy and yellowish skin and dark urine and loss of appetite and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and fatigue and yellowish skin and dark urine and loss of appetite and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and fatigue and lethargy and dark urine and loss of appetite and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and fatigue and lethargy and yellowish skin and loss of appetite and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and fatigue and lethargy and yellowish skin and dark urine and abdominal pain and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and fatigue and lethargy and yellowish skin and dark urine and loss of appetite and yellow urine and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have itching and fatigue and lethargy and yellowish skin and dark urine and loss of appetite and abdominal pain and yellowing of eyes and malaise and receiving blood transfusion and receiving unsterile injections. What could it be?,This could be a sign of Hepatitis B.
I have fatigue and yellowish skin and nausea and loss of appetite and family history. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and yellowish skin and nausea and loss of appetite and yellowing of eyes and family history. What could it be?,This could be a sign of Hepatitis C.
I have yellowish skin and nausea and loss of appetite and yellowing of eyes and family history. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and nausea and loss of appetite and yellowing of eyes and family history. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and yellowish skin and loss of appetite and yellowing of eyes and family history. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and yellowish skin and nausea and yellowing of eyes and family history. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and yellowish skin and nausea and loss of appetite and family history. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and yellowish skin and nausea and loss of appetite and yellowing of eyes. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and yellowish skin and nausea and loss of appetite and yellowing of eyes and family history. What could it be?,This could be a sign of Hepatitis C.
I have fatigue and yellowish skin and nausea and loss of appetite and yellowing of eyes and family history. What could it be?,This could be a sign of Hepatitis C.
I have joint pain and vomiting and fatigue and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have vomiting and fatigue and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and fatigue and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and fatigue and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and fatigue and yellowish skin and nausea and loss of appetite and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and fatigue and yellowish skin and dark urine and loss of appetite and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and fatigue and yellowish skin and dark urine and nausea and abdominal pain and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and fatigue and yellowish skin and dark urine and nausea and loss of appetite and yellowing of eyes. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and fatigue and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain. What could it be?,This could be a sign of Hepatitis D.
I have joint pain and vomiting and fatigue and high fever and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and vomiting and fatigue and high fever and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and vomiting and fatigue and high fever and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have vomiting and fatigue and high fever and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and fatigue and high fever and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and vomiting and high fever and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and vomiting and fatigue and yellowish skin and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and vomiting and fatigue and high fever and dark urine and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and vomiting and fatigue and high fever and yellowish skin and nausea and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have joint pain and vomiting and fatigue and high fever and yellowish skin and dark urine and loss of appetite and abdominal pain and yellowing of eyes and acute liver failure and coma and stomach bleeding. What could it be?,This could be a sign of Hepatitis E.
I have vomiting and yellowish skin and abdominal pain and swelling of stomach and distention of abdomen and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and yellowish skin and abdominal pain and swelling of stomach and distention of abdomen and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have yellowish skin and abdominal pain and swelling of stomach and distention of abdomen and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and abdominal pain and swelling of stomach and distention of abdomen and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and yellowish skin and swelling of stomach and distention of abdomen and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and yellowish skin and abdominal pain and distention of abdomen and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and yellowish skin and abdominal pain and swelling of stomach and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and yellowish skin and abdominal pain and swelling of stomach and distention of abdomen and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and yellowish skin and abdominal pain and swelling of stomach and distention of abdomen and history of alcohol consumption. What could it be?,This could be a sign of Alcoholic hepatitis.
I have vomiting and yellowish skin and abdominal pain and swelling of stomach and distention of abdomen and history of alcohol consumption and fluid overload.1. What could it be?,This could be a sign of Alcoholic hepatitis.
I have chills and vomiting and fatigue and weight loss and cough and high fever and breathlessness and sweating and loss of appetite and mild fever and yellowing of eyes and swelled lymph nodes and malaise and phlegm and chest pain and blood in sputum. What could it be?,This could be a sign of Tuberculosis.
I have chills and vomiting and fatigue and weight loss and cough and high fever and breathlessness and sweating and loss of appetite and mild fever and yellowing of eyes and swelled lymph nodes and malaise and phlegm and chest pain and blood in sputum. What could it be?,This could be a sign of Tuberculosis.
I have vomiting and fatigue and weight loss and cough and high fever and breathlessness and sweating and loss of appetite and mild fever and yellowing of eyes and swelled lymph nodes and malaise and phlegm and chest pain and blood in sputum. What could it be?,This could be a sign of Tuberculosis.
I have chills and fatigue and weight loss and cough and high fever and breathlessness and sweating and loss of appetite and mild fever and yellowing of eyes and swelled lymph nodes and malaise and phlegm and chest pain and blood in sputum. What could it be?,This could be a sign of Tuberculosis.
I have chills and vomiting and weight loss and cough and high fever and breathlessness and sweating and loss of appetite and mild fever and yellowing of eyes and swelled lymph nodes and malaise and phlegm and chest pain and blood in sputum. What could it be?,This could be a sign of Tuberculosis.
I have chills and vomiting and fatigue and cough and high fever and breathlessness and sweating and loss of appetite and mild fever and yellowing of eyes and swelled lymph nodes and malaise and phlegm and chest pain and blood in sputum. What could it be?,This could be a sign of Tuberculosis.
I have chills and vomiting and fatigue and weight loss and high fever and breathlessness and sweating and loss of appetite and mild fever and yellowing of eyes and swelled lymph nodes and malaise and phlegm and chest pain and blood in sputum. What could it be?,This could be a sign of Tuberculosis.
